"Row","Address","Postcode","Status","RawCentral","ConsCentral","BasePsqm","P25Psqm","MedianPsqm","BlockPenalty","SmallPenalty","ConfPenalty","CVPenalty","ConfScore","CV","IsExLA","ExLAScore","Reason"
"2","The Old School House, Llanrhaeadr","LL16 4NU","ERROR","","","","","","","","","","","","","","The remote server returned an error: (400) Bad Request."
"3","1 Chapel Row, Portnahaven, Isle of Islay","PA47 7SG","DESK_REV","","","","","","","","","","","","","","Prior flag: Only 2 valid comparable(s) found within 1 mile radius (minimum 3 required)"
"4","2 The Old Orchard, Bilsington","TN25 7BL","ADDR_FAIL","","","","","","","","","","","","","",""
"5","Firbank Cottage, Sedbergh","LA10 5EF","ERROR","","","","","","","","","","","","","","The remote server returned an error: (400) Bad Request."
"6","14 Kingsway, Rugby","CV22 5NU","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"7","224 Woodhouse Lane, Wigan","WN6 7NF","DESK_REV","","","","","","","","","","","","","","Prior flag: No valid comparables found within 1 mile radius"
"8","55 Stannington Road, Sheffield","S6 5HF","ADDR_FAIL","","","","","","","","","","","","","",""
"9","33 Ninian Road, Cardiff","CF23 5EG","DESK_REV","","","","","","","","","","","","","","Prior flag: Only 1 valid comparable(s) found within 1 mile radius (minimum 3 required)"
"10","Flat 12, Maydwell House, London","E14 7AP","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"11","Flat 75, Princess Court, Cornbrook Park Road, Manchester","M15 4FF","OK","224380","143118","3324","3293","3398","28.0","0","8.0","0","65","0.13","True","3",""
"12","27 Woodlands, Gosforth, Newcastle upon Tyne, NE3 4YN","NE3 4YN","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"13","Flat A, 61 Hornsey Road, London","N7 6DG","ERROR","","","","","","","","","","","","","","The remote server returned an error: (400) Bad Request."
"14","Flat 45 Sudbury House, 85 Wandsworth High Street, London","SW18 4LH","OK","481750","308892","10249","10220","10318","25.0","10.0","5.0","0","70","0.02","True","3",""
"15","41 Arthur Street, Belfast (Student Co-Living)","BT1 4GB","ERROR","","","","","","","","","","","","","","The remote server returned an error: (400) Bad Request."
"16","123 Green Lanes, London (Mixed-Use)","N4 2ES","ADDR_FAIL","","","","","","","","","","","","","",""
"17","12 Chiswick Terrace, Leeds (Student Terrace)","LS6 1QG","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"18","Flat 120, Sudbury House, London","SW18 4TT","OK","492000","315464","10249","10220","10318","25.0","10.0","5.0","0","70","0.02","True","3",""
"19","201 Trellick Tower, 5 Golbourne Road, London","W10 5UY","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"20","Flat 76, Glenkerry House, 98 Burcham Street","E14 0SL","OK","301018","196984","4985","4936","5102","25.0","6.0","5.0","0","70","0.04","True","3",""
"21","Flat 44, Johnson House, Roberta Street, London","E2 6AN","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"22","Flat 16 Albion Towers, Cross Lane, Salford, Manchester","M15 5AJ","ADDR_FAIL","","","","","","","","","","","","","",""
"23","7 Saxelby House, Kimpton Close, Birmingham","B14 5TE","ADDR_FAIL","","","","","","","","","","","","","",""
"24","6 Nicholson House Browning Estate, Brandon Street, London","SE17 1ED","DESK_REV","","","","","","","","","","","","","","Prior flag: No valid comparables found within 1 mile radius"
"25","Flat 8, Montfort House, Galbraith Street, London","E14 3HE","OK","344313","290817","4569","4455","4836","0","0","5.0","0","70","0.12","False","2",""
"26","Flat 122, Banister House, Homerton High Street, London","E9 6BN","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"27","176 Waterville Drive, Vange, Basildon","SS16 4TY","DESK_REV","","","","","","","","","","","","","","Prior flag: Only 2 valid comparable(s) found within 1 mile radius (minimum 3 required)"
"28","8 Cavendish Court, Bessemer Close, Basildon","SS16 5GG","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"29","15 Longhayes Court, Longhayes Avenue, Romford","RM6 5HJ","OK","248268","224403","3587","3570","3626","0","0","8.0","0","65","0.03","False","2",""
"31","12 Cathedral Walk, Chelmsford","CM1 1NX","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"32","10 Milbank, Chelmer Village, Chelmsford","CM2 6YX","OK","302022","268789","5574","5565","5593","0","6.0","5.0","0","75","0.05","False","0",""
"33","34 Wells Crescent, Marconi Plaza, Chelmsford","CM1 1GN","OK","193158","126329","3210","2896","3942","0","10.0","8.0","3.0","60","0.22","False","0",""
"34","21 Waterloo Chambers, Waterloo Lane, Chelmsford","CM1 1BD","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"35","5 Hutton Road, Shenfield, Brentwood","CM15 8LA","DESK_REV","","","","","","","","","","","","","","Prior flag: Only 2 valid comparable(s) found within 1 mile radius (minimum 3 required)"
"36","11 Kensington Place, Priests Lane, Brentwood","CM15 8GA","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"37","29 St Kildas Road, Brentwood","CM15 9EX","OK","435120","376869","5852","5696","6216","0","0","8.0","0","60","0.17","False","1",""
"38","5 The Clock Tower, The Galleries, Warley, Brentwood","CM14 5GF","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"39","10 Hepworth House, Edinburgh Gate, Harlow","CM20 2UB","OK","245520","215840","2840","2731","3093","0","0","5.0","0","70","0.12","False","0",""
"40","6 Mill Court, Edinburgh Gate, Harlow","CM20 2JG","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"41","14 Lavinia Road, Dartford","DA1 1TS","OK","343173","272172","4046","3778","4670","0","0","5.0","3.0","75","0.2","False","0",""
"42","43 Blenheim Road, Dartford","DA1 3EB","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"43","46 Birdwood Avenue, Dartford","DA1 5GB","OK","231335","196056","3175","3099","3354","0","0","5.0","0","70","0.11","False","0",""
"44","6 Hibernia Drive, Gravesend","DA12 4HT","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"45","19 Artillery Row, Gravesend,","DA12 1LY","DESK_REV","","","","","","","","","","","","","","Prior flag: No valid comparables found within 1 mile radius"
"46","11 Chalk Road, Gravesend","DA12 4XE","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"47","131 Vigilant Way, Gravesend","DA12 4PJ","DESK_REV","","","","","","","","","","","","","","Prior flag: Only 2 valid comparable(s) found within 1 mile radius (minimum 3 required)"
"48","38 Suffolk Road, Gravesend,","DA12 2SN","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"49","27 Frazer Close, Romford","RM1 2DF","OK","199992","136338","4543","4401","4873","5.0","10.0","10.0","0","55","0.17","False","1",""
"50","9 The Maltings, Romford","RM1 2AW","OK","290020","231634","4018","3901","4293","5.0","0","8.0","3.0","65","0.18","False","1",""
"51","4 Rushdon Close, Romford","RM1 2RE","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"52","72 Monkwood Close, Romford","RM1 2NQ","OK","251503","226585","3910","3819","4123","0","0","5.0","0","75","0.11","False","0",""
"53","Flat 4, St Davids Court, South Street, Romford","RM1 2AJ","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"54","29 Brackley Crescent, Basildon","SS13 1RA","DESK_REV","","","","","","","","","","","","","","Prior flag: No valid comparables found within 1 mile radius"
"55","45 Fairfax Avenue, Basildon","SS13 1AY","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"56","14 Winfields, Pitsea, Basildon","SS13 1HQ","OK","276320","241855","2893","2787","3140","0","0","5.0","0","75","0.14","False","1",""
"57","17 Canon Court, Basildon","SS13 1EN","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"58","29 Northlands Place, Basildon","SS13 1FN","OK","356292","331295","3229","3199","3299","0","0","5.0","0","70","0.1","False","0",""
"59","14 Wood Green, Basildon","SS13 1RT","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"60","5 Canon Court, Basildon","SS13 1EN","OK","212740","170026","3644","3548","3868","5.0","6.0","5.0","0","70","0.14","False","2",""
"61","29 Davy Court, Rochester","ME1 1AE","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"62","67 Mount Road, Rochester","ME1 3NH","OK","281392","269692","3301","3243","3437","0","0","5.0","0","75","0.1","False","0",""
"63","77 Merrick Close, Stevenage","SG1 6GH","OK","245027","213172","4046","4000","4153","0","6.0","5.0","0","70","0.12","False","0",""
"64","36 Wansbeck Close, Stevenage","SG1 6AA","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"65","32 Foyle Close, Stevenage","SG1 6BQ","OK","382608","362657","5302","5293","5324","0","0","5.0","0","70","0.03","False","0",""
"66","19 Angelica Drive, London","E6 6NS","OK","238329","192041","5947","5876","6111","0","10.0","8.0","0","60","0.14","False","0",""
"67","51 Mountfield Road, London","E6 6BH","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"68","56 Downings, London","E6 6WP","DESK_REV","","","","","","","","","","","","","","Prior flag: No valid comparables found within 1 mile radius"
"69","281 Tollgate Road, London","E6 5XW","DESK_REV","","","","","","","","","","","","","","Prior flag: Only 2 valid comparable(s) found within 1 mile radius (minimum 3 required)"
"70","81 Lichfield Road, London","E6 3LQ","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"71","5 Temple Road, London","E6 1LU","OK","386973","323846","4822","4719","5065","0","0","8.0","0","60","0.13","False","0",""
"72","22 Seymour Road, Northfleet, Gravesend","DA11 7BN","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"73","233 Old Road West, Gravesend","DA11 0LU","OK","276020","245980","3499","3401","3730","0","0","5.0","0","70","0.18","False","0",""
"74","72 Forest View Road, London","E12 5HU","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"75","80 Grantham Road, London","E12 5NE","DESK_REV","","","","","","","","","","","","","","Prior flag: No valid comparables found within 1 mile radius"
"76","Flat 5, St James Court, 71 Aldersbrook Road, London","E12 5DL","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"77","151 Forest View Road, London","E12 5HX","OK","237015","183049","5008","4954","5134","5.0","10.0","5.0","0","70","0.05","False","1",""
"78","483 High Street North, London","E12 6TH","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
"79","75 Empress Avenue, London","E12 5SA","DESK_REV","","","","","","","","","","","","","","Subject property floor area is missing or zero. Cannot calculate ??/sqm valuation."
"80","147 Manor Road, Caddington, Luton","LU1 4HJ","DESK_REV","","","","","","","","","","","","","","Prior flag: No comparable sales data found for this postcode"
