Row,Address,Postcode,Town/City,Property Type,Category,Block / Notes,Floor Area Sqm (EPC),Zoopla Low,Zoopla Central,Zoopla High,Moov Raw Central,Moov Conservative Central,Target Ratio Min,Target Ratio Max,Moov/Zoopla Central Ratio,% Diff vs Zoopla,Row Status,Base £/sqm,P25 £/sqm,Median £/sqm,Block Penalty,Small Unit Penalty,Confidence Penalty,CV Penalty,Confidence Score,Coefficient of Variation (CV),isExLocalAuthority,exLAScore,Comment
3,"1 Chapel Row, Portnahaven, Isle of Islay",PA47 7SG,Portnahaven,House,Rural House (Low Data),EPC present but insufficient comps,,181000,226000,271000,DESK_REV,,0.8,0.95,,,DESK,,,,,,,,,,,,Prior flag: Only 1 valid comparable(s) found within 1 mile radius (minimum 3 required)
4,"2 The Old Orchard, Bilsington",TN25 7BL,Bilsington,House,Rural House,Low-turnover rural area,,,,,ADDR_FAIL,,0.8,0.95,,,ADDR_FAIL,,,,,,,,,,,,"Address not found: Could not match house number ""2 the old orchard"" to any address at TN25 7BL"
5,"Firbank Cottage, Sedbergh",LA10 5EF,Sedbergh,House,Rural House,Rural thinner comps,,446000,557000,669000,ADDR_FAIL,,0.8,0.95,,,ADDR_FAIL,,,,,,,,,,,,"Address not found: Could not match house number ""firbank cottage"" to any address at LA10 5EF"
6,"14 Kingsway, Rugby",CV22 5NU,Rugby,House,Standard House,Best result lots of comps,,,,,250346,241422,0.85,0.95,,,DESK,2989,2961,3053,,,1.5%,,75,0.09,FALSE,,Prior flag: No comparable sales data found for this postcode
7,"224 Woodhouse Lane, Wigan",WN6 7NF,Wigan,House,Standard House,Normal suburban house,,192000,213000,234000,DESK_REV,,0.85,0.95,0,-100%,DESK,,,,,,,,,,,,Prior flag: No valid comparables found within 1 mile radius
8,"55 Stannington Road, Sheffield",S6 5HF,Sheffield,House,Rural / Edge,Address not resolved,,193000,203000,213000,ADDR_FAIL,,,,,,ADDR_FAIL,,,,,,,,,,,,Address not found: Ideal Postcodes error: HTTP 404: Not Found
9,"33 Ninian Road, Cardiff",CF23 5EG,Cardiff,House,Urban House,Cardiff suburb decent comps,,554000,693000,831000,DESK_REV,,0.85,0.95,,,DESK,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode
10,"Flat 12, Maydwell House, London",E14 7AP,London,Flat,Ex-LA Tower Flat,High-rise ex-LA Canary Wharf,,245000,306000,367000,DESK_REV,,0.8,0.9,,,DESK,,,,,,,,,,,,Prior flag: No valid comparables found within 1 mile radius
11,"Flat 75, Princess Court, Cornbrook Park Road, Manchester",M15 4FF,Manchester,Flat,Private City Flat,Manchester city BTL stock,,119000,149000,179000,DESK_REV,,0.9,0.97,1.33,33%,DESK,3324,3293,3398,7.0%,,1.5%,,70,0.09,FALSE,3,Prior flag: No comparable sales data found for this postcode
12,"27 Woodlands, Gosforth, Newcastle upon Tyne",NE3 4YN,Newcastle,House,Standard House,Normal suburban house,,529000,588000,647000,756140,643860,0.85,0.95,1.09,9%,CHECK,4888,4668,5401,,,3.5%,2.5%,50,0.29,FALSE,,Prior flag: No comparable sales data found for this postcode
13,"Flat A, 61 Hornsey Road, London",N7 6DG,London,Flat,Private City Flat,Large flat where comps were thin,,408000,510000,612000,DESK_REV,,0.9,0.97,1.25,25%,DESK,10406,10313,10625,,,1.5%,,75,0.10,FALSE,1,Prior flag: Only 2 valid comparable(s) found within 1 mile radius (minimum 3 required)
14,"Flat 45 Sudbury House, 85 Wandsworth High Street, London",SW18 4LH,London,Flat,Ex-LA Tower Flat,1960s tower small units ex-LA,,216000,269000,323000,DESK_REV,,0.8,0.9,1.15,15%,DESK,10249,10220,10318,25.0%,10.0%,5.0%,0%,70,0.02,TRUE,3,Prior flag: Only 1 valid comparable(s) found within 1 mile radius (minimum 3 required)
15,"41 Arthur Street, Belfast",BT1 4GB,Belfast,Commercial,DeskFail / Commercial,NI student co-living,,N/A,N/A,N/A,ERROR,,,,,,ERROR,,,,,,,,,,,,Error: Invalid request
16,"123 Green Lanes, London",N4 2ES,London,Commercial,DeskFail / Mixed Use,Mixed-use commercial,,N/A,N/A,N/A,ADDR_FAIL,,,,,,ADDR_FAIL,,,,,,,,,,,,"Address not found: Could not match house number ""123 green lanes"" to any address at N4 2ES"
17,"12 Chiswick Terrace, Leeds",LS6 1QG,Leeds,House,Standard / Student House,Student terrace stock,,159000,176000,194000,145638,132687,0.85,0.95,0.75,-25%,CHECK,1501,1474,1566,,,3.5%,1.5%,50,0.24,FALSE,,Average comparable age is 21 months. Data may be too old for accurate valuation.
18,"Flat 120, Sudbury House, London",SW18 4TT,London,Flat,Ex-LA Tower Flat,Sister tower case to #14,,209000,261000,313000,DESK_REV,,0.8,0.9,0.85,-15%,DESK,6039,4286,10128,10.0%,6.0%,5.0%,5.0%,50,0.40,TRUE,3,Prior flag: No comparable sales data found for this postcode
19,"201 Trellick Tower, 5 Golbourne Road, London",W10 5UY,London,Flat,Ex-LA Tower Flat,Iconic ex-LA tower,,448000,560000,672000,ADDR_FAIL,,0.8,0.9,,,ADDR_FAIL,,,,,,,,,,,,"Address not found: Could not match house number ""201 trellick tower"" to any address at W10 5UY"
20,"Flat 76, Glenkerry House, 98 Burcham Street",E14 0SL,London,Flat,Ex-LA Tower Flat,Ex-LA tower block,,86000,108000,130000,DESK_REV,,0.8,0.9,1.82,82%,DESK,4985,4936,5102,25.0%,6.0%,5.0%,0%,70,0.04,TRUE,3,Prior flag: Only 1 valid comparable(s) found within 1 mile radius (minimum 3 required)
21,"Flat 44, Johnson House, Roberta Street, London",E2 6AN,London,Flat,Ex-LA Tower Flat,Ex-LA tower,,279000,349000,419000,568590,417111,0.8,0.9,1.20,20%,CHECK,6717,6231,7849,,,3.5%,2.5%,50,0.32,FALSE,2,Prior flag: No comparable sales data found for this postcode
22,"Flat 16 Albion Towers, Cross Lane, Salford, Manchester",M15 5AJ,Manchester,Flat,Ex-LA Tower Flat,Ex-LA tower,,94000,117000,141000,ADDR_FAIL,,0.8,0.9,,,ADDR_FAIL,,,,,,,,,,,,"Address not found: Could not match house number ""flat 16 albion towers"" to any address at M15 5AJ"
23,"7 Saxelby House, Kimpton Close, Birmingham",B14 5TE,Birmingham,Flat,Ex-LA Tower Flat,Ex-LA tower,,101000,126000,151000,ADDR_FAIL,,0.8,0.9,,,ADDR_FAIL,,,,,,,,,,,,Address not found: Ideal Postcodes error: HTTP 404: Not Found
24,"6 Nicholson House Browning Estate, Brandon Street, London",SE17 1ED,London,Flat,Ex-LA Low Rise Flat,Ex-LA low rise,,N/A,N/A,N/A,485724,412796,0.8,0.9,,,DESK,6321,5969,7143,,,2.5%,1.5%,65,0.22,FALSE,,No comps within 1mi
25,"Flat 8, Montfort House, Galbraith Street, London",E14 3HE,London,Flat,Ex-LA Low Rise Flat,Low rise ex-LA,,288000,320000,352000,DESK_REV,,0.85,0.92,0.91,-9%,DESK,4569,4455,4836,0%,0%,5.0%,0%,70,0.12,FALSE,2,Prior flag: No comparable sales data found for this postcode
26,"Flat 122, Banister House, Homerton High Street, London",E9 6BN,London,Flat,Ex-LA Low Rise Flat,Low rise ex-LA,,297000,371000,445000,DESK_REV,,0.85,0.92,,,DESK,,,,,,,,,,,,Subject property floor area is missing or zero. Cannot calculate £/sqm valuation.
27,"176 Waterville Drive, Vange, Basildon",SS16 4TY,Basildon,Flat,Private Commuter Flat,Private commuter flat,,155000,163000,171000,DESK_REV,,0.9,0.97,,,DESK,,,,,,,,,,,,Prior flag: Only 1 valid comparable(s) found within 1 mile radius (minimum 3 required)
28,"8 Cavendish Court, Bessemer Close, Basildon",SS16 5GG,Basildon,Flat,Private Commuter Flat,Private commuter flat,,198000,220000,242000,DESK_REV,,0.9,0.97,0.88,-12%,DESK,3313,3307,3327,,,3.0%,,65,0.05,FALSE,,Prior flag: Only 2 valid comparable(s) found within 1 mile radius (minimum 3 required)
29,"15 Longhayes Court, Longhayes Avenue, Romford",RM6 5HJ,Romford,Flat,Private Commuter Flat,Private commuter flat,,234000,260000,286000,DESK_REV,,0.9,0.97,0.66,-34%,DESK,2838,2563,3480,,,7.0%,5.0%,45,0.31,FALSE,2,Prior flag: No comparable sales data found for this postcode
31,"12 Cathedral Walk, Chelmsford",CM1 1NX,Chelmsford,Flat,Private Commuter Flat,Private commuter flat,,211000,222000,233000,DESK_REV,,0.9,0.97,,,DESK,,,,,,,,,,,,Prior flag: Only 1 valid comparable(s) found within 1 mile radius (minimum 3 required)
